Cuisine,Recipe,Cook Time,Servings,Ingredients,Instructions
Asian,Korean Sweet Pancakes,10 Minutes,8,"1 (16.3 ounce) can refrigerated biscuits
1/2 cup nutella
2 tablespoons neutral oil","""Flatten each biscuit into a 4 inch circle. Place 1 tablespoon filling in the center of each biscuit. Wrap dough around the filling into a ball and crimp the dough to seal it tightly.  Flatten the filled ball of dough into a patty shape. 

Heat a non stick skillet over medium-low  heat. Add 2 teaspoon of oil and; working with 2 to 3 at a time; place the filled dough; seam side down into the skillet. Place lid on skillet and cook until the bottom side is golden brown and toasted; 3 to 4 minutes.  Flip the pastries and cook until golden on both sides and the dough along the outside is cooked; an additional 3 to 4 minutes.  

Repeat with the remaining filled pastries and oil. """
Asian,Beef Miso Ramen,15 Minutes,2,"1 (8 ounce) beef sirloin steak
½ cup gluten-free soy sauce (tamari)
1 teaspoon coconut oil
4 cups beef broth
2 teaspoons miso paste
1 teaspoon minced garlic
1 teaspoon sesame oil
2 (3 ounce) packages ramen noodles
salt and ground black pepper to taste","""Combine steak and soy sauce in a plastic container with a lid. For best flavor results; marinate in the refrigerator for 2 hours.

Remove steak from the marinade and shake off excess. Discard the remaining marinade.

Heat coconut oil in a skillet over medium-high heat. Add steak and cook until firm and reddish-pink and juicy in the center; 3 to 4 minutes per side. An instant-read thermometer inserted into the center should read 130 degrees F (54 degrees C) for medium-rare. Remove from skillet and allow to rest for 10 minutes.

While the steak is resting; combine broth; miso paste; garlic; and sesame oil in a saucepan over medium heat; bring to a boil. Once broth is at a slow boil; add ramen noodles. Cook until noodles are soft; about 3 minutes. Season with salt and pepper.

Transfer broth and noodles to 2 bowls. Slice steak and place on top."""
Asian,Orange Chicken,20 Minutes,6 to 8,"2 cups flour
1/2 cup cornstarch
2 teaspoons salt
1/2 teaspoon white pepper
large egg
1 cup water
2 tablespoons peanut or canola oil
2 pounds boneless skinless chicken thighs cut into 1-inch pieces
2 cups peanut oil
1 tablespoon sesame oil
1/4 teaspoon crushed red pepper
2 teaspoons minced ginger
2 teaspoons minced garlic
1/4 cup brown sugar
1/4 cup fresh orange juice
1/4 cup white vinegar
tablespoons soy sauce
2 tablespoons cornstarch
3 cups cooked rice
sliced green onions for garnish
 sesame seeds for garnish (optional)
1 teaspoon orange zest","""Whisk together flour; cornstarch; salt; and white pepper in a large bowl.  Add egg; water; and 1 1/2 tablespoons oil and stir to combine (mixture will be like a sticky batter). Add chicken pieces to batter and toss well to coat. Let chicken stand in refrigerator while oil heats.

Pour oil into a deep saucepan filled about 2 inches deep. Heat oil to 375 degrees C (190 degrees F). 

Meanwhile; for the sauce heat remaining oil and 2 teaspoons sesame oil in a large skillet over medium-high heat. Add crushed red pepper; ginger; and garlic and cook; stirring constantly; until fragrant; about 30 seconds. Stir in brown sugar; orange juice; vinegar; and soy sauce and bring mixture to a boil; stirring often. 

Combine 3 tablespoons cold water with cornstarch in a small bowl and stir until cornstarch is dissolved. Pour mixture into saucepan and stir to combine. Bring mixture to a boil and reduce to simmer; stirring constantly until sauce thickens. Turn heat off and keep warm while chicken is cooking.

Working in batches; add coated chicken pieces carefully to the hot oil. Oil temperature will reduce when food is added. Cook chicken at 350 degrees F (175 degrees C); stirring occasionally; until golden brown and crispy; 5 to 6 minutes. Remove chicken with a slotted spoon and drain on a wire rack set over paper towels. Bring oil temperature back up to 365 to 375 degrees F (185 to 190 degrees C) and repeat process with remaining chicken. 

Return sauce mixture to medium heat; add more water if necessary if sauce thickens too much. Once hot; add in cooked chicken pieces and toss well to coat. Stir in remaining sesame oil and orange zest and serve over hot cooked rice. Garnish with green onions and sesame seeds if desired."""
Italian,Tiramisu,3 Hours,6,"6 egg yolks
1 cup white sugar
1 pound mascarpone cheese
6 egg whites stiffly beaten
¼ cup heavy cream
3 tablespoons kirschwasser
1 ¼ cups strong brewed coffee cold
25 ladyfingers
1 tablespoon unsweetened cocoa powder","""In a medium bowl beat together the egg yolks and 1/3 cup of sugar. Using a wooden spoon stir in mascarpone cheese; beaten egg whites; cream and kirschwasser; stir until smooth. Set aside.

Dissolve remaining 2/3 cup sugar in coffee. Quickly; to avoid complete saturation; dip ends of ladyfingers in coffee mixture. Place ladyfingers in a single layer in a 9 x 13 inch glass baking dish. Spread a layer of cheese mixture over the ladyfingers; repeat layers; ending with cheese mixture.

Cover and refrigerate for several hours. Sprinkle with cocoa just before serving."""
Italian,Shrimp Scampi,30 Minutes,6,"1 (16 ounce) package linguine pasta
2 tablespoons unsalted butter
½ tablespoons olive oil
½ cup chopped red bell pepper
½ cup chopped yellow bell pepper
6 cloves garlic sliced
48 large shrimppeeled deveined and tails removed
½ cup dry white wine (such as Chardonnay)
¼ cup clam juice
1 teaspoon lemon juice
2 tablespoons unsalted butter
1 ½ tablespoons olive oil
3 tablespoons chopped fresh parsley
2 tablespoons heavy cream
1 ½ teaspoons crushed red pepper flakes
1 teaspoon sea salt","""Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite; about 11 minutes. Reserve 1 cup pasta water; drain linguine well in a colander set in the sink.

Melt 2 tablespoons butter with 1 1/2 tablespoons olive oil in a large skillet over medium heat. Add bell peppers and garlic; cook and stir until peppers have softened; about 10 minutes. Stir in shrimp; cook and stir until shrimp are opaque and pink; about 5 minutes. Transfer shrimp to a bowl and set aside; leaving peppers and garlic in the skillet.

Stir wine; clam juice; and lemon juice into the skillet; bring to a boil over medium heat. Add remaining 2 tablespoons butter and remaining 1 1/2 tablespoons olive oil; return shrimp to the skillet. Stir in reserved 1 cup pasta water; parsley; cream; red pepper flakes; and sea salt. Add cooked linguine; toss lightly to coat. Simmer scampi over medium-low heat to let linguine absorb some sauce; about 5 minutes; serve hot."""
Italian,3 Meat Italian Meatballs,30 Minutes,8,"1 pound ground beef
1 pound ground turkey
1 pound ground Italian sausage;
1 large onion diced
2 large eggs
½ cup Italian-style seasoned bread crumbs;
½ cup quick cooking oats
2 tablespoons Italian-style seasoning
1 cup vegetable oil","""Preheat the oven to 350 degrees F (175 degrees C).
Combine ground meats; onion; eggs; bread crumbs; oats; and seasoning in a large bowl until well combined. Shape into 24 (2-inch-diameter) meatballs.

Heat enough vegetable oil in a large sauté pan to be 1/2 inch deep. Cook meatballs in hot oil until browned; about 5 minutes.
Transfer to a glass baking dish.

Bake in the preheated oven for 25 minutes. 

An instant-read thermometer inserted into the center should read 165 degrees F (75 degrees C)."""
Mexican,Chimichangas,30 Minutes,8,"1 teaspoon kosher salt
1/2 teaspoon freshly ground black pepper
1 teaspoon garlic powder
3 skinless; boneless chicken breasts
1 tablespoon olive oil
1/2 cup finely chopped onion
3 cloves garlic finely minced
1 tablespoon ancho chili powder
2 teaspoons ground cumin
2 cups plus 3 tablespoons water
1 chicken bouillon cube or 1 teaspoon bouillon paste
1 (7 ounce) can green chiles
3 tablespoons all-purpose flour
2 cups peanut oil or vegetable oil for frying
8 (10 to 12-inch) flour tortillas
1 1/2 cups refried beans heated
1 (8 ounce) block pepper Jack cheese shredded
Toppings such as warm queso pico de gallo cilantro and shredded lettuce","""Sprinkle salt; pepper; and garlic powder evenly over one side of the chicken breasts.

Heat olive oil in a large deep skillet over medium-high heat. Add chicken; seasoned side down; into skillet; and cook; undisturbed; until browned; 3 to 4 minutes. Flip chicken over and push to one side of the pan.

Add onion; garlic; chili powder; and cumin to the skillet and cook for 1 minute.  Add 2 cups water and bouillon and gently stir until well combined.

Bring mixture to a simmer. Reduce heat; cover; and simmer gently until chicken is no longer pink at the center and juices run clear; about 20 minutes. An instant-read thermometer inserted near the center should read 165 degrees F (74 degrees C).

Remove chicken from pan and increase heat to medium-high; cook until broth mixture is reduced by about half. Shred chicken and add back to the pan; along with green chiles. Stir until well combined and remove from heat.

Whisk flour and remaining water together in a small bowl until smooth; set aside. Heat oil for frying in a large saucepan or Dutch oven over medium-high heat to 350 degrees F (175 degrees C). Set a wire rack over a rimmed baking sheet.

Place tortilla on work surface and spread about 3 tablespoons beans in the center. Top with 1/4 cup shredded cheese and 1/3 to 1/2 cup well-drained shredded chicken. Brush flour mixture lightly around edges of top half of tortilla. Fold sides of tortilla in just over edges of filling and fold bottom of tortilla up over filling.  Press back on the tortilla to push the filling tightly together and continue to roll upwards. Lightly press the edges of the tortilla to seal tightly and set aside; seam side down. Repeat with remaining ingredients.

Carefully place 2 burritos into hot oil and cook; turning occasionally; until golden brown and toasted on the outside; about 2 minutes. Drain on the prepared baking sheet. Bring oil back up to temperature and repeat with remaining burritos.

Top as desired with warm queso; pico de gallo; cilantro and shredded lettuce; or other toppings; and serve immediately."""
Mexican,Beef Birria Queso Tacos with Consomme,40 Minutes,4,"Consommé:
2 cups reserved sauce from beef birria recipe
1 cup chicken broth
¼ cup diced carrots
¼ cup diced celery
 ½ cup diced cabbage

Tacos:
3 tablespoons reserved beef fat from beef birria recipe
8 (5 inch) corn tortillas
2 cups freshly grated Monterey Jack cheese
2 cups shredded Beef Birria
4 tablespoons chopped white onion
4 tablespoons chopped fresh cilantro
1 medium lime cut into 4 wedges","""To make the consommé: Stir beef birria sauce; chicken broth; carrots; celery; and cabbage together in a saucepan over high heat. Bring to a simmer; then reduce the heat to medium-low and simmer; occasionally brushing the caramelized bits (fond) off the side with the hot liquid; until vegetables are nice and tender and consommé has reached the desired consistency; about 20 minutes. Reduce the heat to low and keep hot while you prepare the tacos.

To make the tacos: Heat some reserved beef fat in a large skillet over medium heat until melted. Add two tortillas and flip with a spatula until generously coated in fat. Toast briefly until golden brown; then cover with Monterey Jack cheese and some shredded beef. Drizzle each taco with about 1 tablespoon consommé liquid; then top with some white onion and cilantro.

Fold tacos in half and press gently. Continue to cook; flipping back and forth; until browned and crispy; 2 to 3 minutes. Transfer to a plate and repeat to make remaining tacos; adding more fat if necessary.

Ladle consommé into a bowl and garnish with any remaining white onion and cilantro. Squeeze lime wedges into consommé and serve with tacos."""
Mexican,Strawberry Tres Leches Cake,25 Minutes,12,"Cake:
baking spray
1 1/2 cups all purpose flour
2 teaspoons baking powder
1 teaspoon kosher salt
3 large eggs at room temperature
1 cup granulated sugar
1 tablespoon pure vanilla extract
1/2 cup whole milk at room temperature Strawberry Milk
1 pound strawberries hulled and quartered plus sliced strawberries for garnish
1/4 cup granulated sugar
1 (12-ounce) can evaporated milk
1 (14-ounce) can sweetened condensed milk
1/2 cup heavy whipping cream whipped topping to taste","""Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 13- x 9-inch baking dish with baking spray; set aside.

Whisk together flour; baking powder; and salt in a bowl. In the bowl of a stand mixer fitted with a paddle attachment; beat eggs; sugar; and vanilla on medium speed until light; fluffy; and almost doubled in volume; about 10 minutes.

Beat in half of the flour mixture on low speed until just incorporated. Gradually stream in the milk until combined; followed by the remaining flour mixture. Transfer batter to prepared baking dish.

Bake in preheated oven until golden brown and a wooden skewer inserted in the center of the cake comes out clean; 25 to 30 minutes. Remove from oven and allow to cool on a wire rack in the pan for 20 minutes.

Meanwhile; for the strawberry milk toss strawberries and sugar in a small bowl until fully coated; let rest at room temperature for 10 minutes; stirring occasionally. Transfer to a blender and process until smooth; about 30 seconds. Strain puree through a fine mesh sieve into a large bowl; discarding any pulp or seeds. Whisk together 1 cup of the strained strawberry puree (reserving any remaining for a later use); evaporated milk; condensed milk; and heavy cream into a large bowl until fully
combined.

Using a wooden skewer or the tines of a fork; poke holes all over the top of the cooled Cake; pour strawberry ;ilk mixture evenly over cake. Cover with plastic wrap and refrigerate for at least 4 hours or up to 12 hours.

Top with a layer of whipped topping and sliced strawberries before serving."""
American,Texas Pulled Pork Crockpot,5 Hours,8,"Oil:
 This pulled pork recipe starts with a teaspoon of vegetable oil at the bottom of your slow cooker
Pork: 
If your pork shoulder roast is larger or smaller than four pounds you’ll need to adjust the ingredient rations and cook time
Sauces: 
You’ll need bottled barbecue sauce
yellow mustard
Worcestershire sauce
Apple cider vinegar: Apple cider vinegar adds brightness and cuts through the other rich flavors
Chicken Broth
Brown sugar
Seasonings:
Chili Powder
Garlic
Dried Thyme
Onion
Buns
Butter","""Pour oil into the slow cooker; then place the roast on top of the oil. 
Add the remaining ingredients to the slow cooker. 
Cover and cook until the pork shreds easily. 
Shred the pork and return it to the slow cooker to combine it with the juices. 
If you’re making sandwiches; serve the pulled pork on buttered buns. """
American,Key Lime Pie,20 Minutes,8,"11 graham crackers
1/4 cup white sugar
5 tablespoons butter melted
1 (14 ounce) can plus 1/2 cup sweetened condensed milk
2/3 cup freshly squeezed lime juice or Key lime juice
1/2 teaspoon lime zest
3 large egg yolks
1/3 cup sour cream
1 cup cold heavy cream
1/4 cup powdered sugar
2 tablespoons coconut rum","""Preheat the oven to 350 degrees F (175 degrees C). Break graham crackers into the bowl of a food processor and add sugar. Pulse until coarsely ground. Add melted butter and pulse about 4 times until mixture resembles damp sand; transfer to a pie plate and very lightly press into bottom and up sides of the dish.

Bake in the preheated oven just until fragrant; 4 to 6 minutes. Let cool.

Whisk together sweetened condensed milk and lime juice until smooth. Whisk in egg yolks until well combined. Stir in sour cream and zest until smooth.

Pour filling over graham cracker crust; lightly spread in an even layer. Place pie dish on a rimmed baking sheet.

Bake  in the preheated oven until just set around the edges and slightly jiggly in the center; 14 to 16 minutes. Remove to a wire rack to cool to room temperature; about 40 minutes. Chill pie in the refrigerator for at least 8 hours.

Place cream; powdered sugar; and rum in a mixing bowl. Beat with an electric mixer until cream holds medium peaks. Serve pie with whipped cream."""
American,Chicken and Dumplings,2 hrs 15 Minutes,8,"1 whole chicken cut into pieces (drumsticks; thighs; and halved breasts)
1 teaspoon Morton Nature’s Seasons seasoning blend
3 tablespoons butter
1 (32 ounce) carton low-sodium chicken broth
2 cups water
1/2 onion minced
teaspoon poultry seasoning
1 teaspoon minced garlic
1 1/2 teaspoons salt
1 teaspoon black pepper
3 medium carrots cut into 1-inch pieces (1 1/2 cups)
3 medium stalks celery cut into 1-inch pieces (1 1/2 cups)
1 1/4 cups flour
1 teaspoon baking powder
1 egg
1/2 cup whole buttermilk
1/2 cup butter chilled and cut into thin slices
Chopped fresh parsley","""Season chicken pieces all over with the Morton’s seasoning blend.

Melt 3 tablespoons butter in a large Dutch oven over medium-high heat. Add chicken pieces; skin sides down; and cook until golden brown; 6 to 8 minutes. Turn chicken pieces and brown again; 6 to 8 minutes more.

Add broth and water; bring to a boil over high heat. Add onion; poultry seasoning; garlic; 1 teaspoon salt; and pepper. Reduce heat and simmer; covered; 20 minutes. Add carrots and celery. Leaving pot partially covered; continue simmering over low heat until vegetables are almost tender; about 20 minutes.

Meanwhile; sift flour; baking powder; and remaining 1/2 teaspoon salt together in a large bowl. In a separate medium bowl; whisk together egg and buttermilk.

Cut chilled butter into dry mixture using a pastry cutter or two forks. Blend well to a crumbly consistency. Add buttermilk mixture and gently stir with a wooden spoon until combined. Cover with plastic wrap and refrigerate 30 minutes.

Turn out dough onto a floured surface. Using your hands; pat dough to approximately 1-inch thickness and gently fold outer edges into center. Continue to gently fold—do not knead—until it comes together. Pat dough out again to approximately 1-inch thickness.

Remove cooked chicken from Dutch oven (an instant-read thermometer inserted into thickest part of chicken should register 170 degrees F /76 degrees C) and put it on a plate. Cover with foil to keep warm. Skim fat from broth. Bring broth to a gentle boil over medium-high heat.

Using a knife; cut dough into 9 (2x2-inch) squares. Gently drop each square; one at a time; into boiling broth. Lower heat to medium and simmer; uncovered; until all dumplings rise to top and a toothpick inserted in center comes out clean; about 10 minutes. Return chicken to pot and simmer an additional 5 minutes.

Spoon chicken and dumplin’s into bowls. Garnish with parsley."""
